restart_frequency, epsilon, x_error(%), f_error(%), iterations
10, 1e-14, 3.52e-01±4.83e-01, 3.63e+00±5.79e+00, 3.32e+01±4.78e+01
10, 1e-13, 3.52e-01±4.83e-01, 3.63e+00±5.79e+00, 3.32e+01±4.78e+01
10, 1e-12, 3.52e-01±4.83e-01, 3.63e+00±5.79e+00, 3.32e+01±4.78e+01
10, 1e-11, 3.52e-01±4.83e-01, 3.63e+00±5.79e+00, 3.32e+01±4.78e+01
10, 9.999999999999999e-11, 3.52e-01±4.83e-01, 3.63e+00±5.79e+00, 3.32e+01±4.78e+01
10, 9.999999999999999e-10, 3.49e-01±4.84e-01, 3.59e+00±5.80e+00, 3.29e+01±4.78e+01
10, 9.999999999999999e-09, 3.49e-01±4.84e-01, 3.59e+00±5.80e+00, 3.26e+01±4.79e+01
10, 9.999999999999998e-08, 3.49e-01±4.84e-01, 3.60e+00±5.79e+00, 3.15e+01±4.74e+01
10, 9.999999999999997e-07, 3.40e-01±4.67e-01, 3.52e+00±5.55e+00, 2.94e+01±4.77e+01
10, 9.999999999999997e-06, 3.86e-01±4.50e-01, 7.01e+00±1.11e+01, 2.47e+01±4.61e+01
