restart_frequency, epsilon, x_error(%), f_error(%), iterations
47, 1.14e-14, 3.38e-04±2.63e-04, 4.72e-03±1.25e-02, 1.15e+02±3.03e+01
31, 1.14e-14, 2.86e-04±1.97e-04, 3.00e-03±3.59e-03, 7.71e+01±1.81e+01
15, 1.14e-14, 4.32e-04±1.72e-04, 5.09e-03±3.48e-03, 4.05e+01±8.17e+00
17, 1.14e-14, 4.11e-04±1.86e-04, 4.75e-03±4.02e-03, 4.39e+01±9.80e+00
31, 1.14e-14, 2.86e-04±1.97e-04, 3.00e-03±3.59e-03, 7.71e+01±1.81e+01
15, 1.14e-14, 4.32e-04±1.72e-04, 5.09e-03±3.48e-03, 4.05e+01±8.17e+00
41, 1.14e-14, 3.31e-04±1.98e-04, 3.85e-03±4.75e-03, 9.30e+01±2.27e+01
33, 1.14e-14, 3.21e-04±2.01e-04, 3.53e-03±3.98e-03, 8.09e+01±1.95e+01
49, 1.14e-14, 3.30e-04±1.79e-04, 3.77e-03±4.00e-03, 1.19e+02±3.10e+01
31, 1.14e-14, 2.86e-04±1.97e-04, 3.00e-03±3.59e-03, 7.71e+01±1.81e+01
30, 1.14e-14, 2.71e-04±1.84e-04, 2.65e-03±3.34e-03, 7.49e+01±1.79e+01
16, 1.14e-14, 4.45e-04±1.96e-04, 5.48e-03±4.46e-03, 4.08e+01±8.85e+00
16, 1.14e-14, 4.45e-04±1.96e-04, 5.48e-03±4.46e-03, 4.08e+01±8.85e+00
23, 1.14e-14, 3.07e-04±1.95e-04, 3.12e-03±3.43e-03, 5.86e+01±1.38e+01
28, 1.14e-14, 2.51e-04±1.78e-04, 2.54e-03±3.49e-03, 7.28e+01±1.43e+01
12, 1.14e-14, 4.48e-04±1.96e-04, 5.37e-03±4.08e-03, 3.51e+01±5.93e+00
33, 1.14e-14, 3.21e-04±2.01e-04, 3.53e-03±3.98e-03, 8.09e+01±1.95e+01
29, 1.14e-14, 2.71e-04±1.76e-04, 2.63e-03±3.02e-03, 7.25e+01±1.66e+01
16, 1.14e-14, 4.45e-04±1.96e-04, 5.48e-03±4.46e-03, 4.08e+01±8.85e+00
14, 1.14e-14, 4.31e-04±1.87e-04, 4.98e-03±3.45e-03, 3.82e+01±7.59e+00
9, 1.14e-14, 4.28e-04±1.77e-04, 4.91e-03±3.41e-03, 2.99e+01±6.17e+00
44, 1.14e-14, 2.77e-04±1.32e-04, 2.64e-03±2.27e-03, 1.08e+02±2.62e+01
20, 1.14e-14, 3.14e-04±1.80e-04, 3.03e-03±3.68e-03, 5.19e+01±1.22e+01
17, 1.14e-14, 4.11e-04±1.86e-04, 4.75e-03±4.02e-03, 4.39e+01±9.80e+00
43, 1.14e-14, 2.81e-04±1.48e-04, 2.71e-03±2.43e-03, 1.01e+02±2.58e+01
21, 1.14e-14, 3.03e-04±1.91e-04, 3.14e-03±4.56e-03, 5.58e+01±1.14e+01
43, 1.14e-14, 2.81e-04±1.48e-04, 2.71e-03±2.43e-03, 1.01e+02±2.58e+01
6, 1.14e-14, 3.90e-04±1.87e-04, 4.29e-03±7.10e-03, 2.23e+01±4.84e+00
27, 1.14e-14, 2.74e-04±1.98e-04, 2.89e-03±4.15e-03, 6.92e+01±1.41e+01
18, 1.14e-14, 3.73e-04±1.74e-04, 3.95e-03±3.32e-03, 4.82e+01±8.84e+00
30, 1.14e-14, 2.71e-04±1.84e-04, 2.65e-03±3.34e-03, 7.49e+01±1.79e+01
19, 1.14e-14, 3.53e-04±1.64e-04, 3.46e-03±2.85e-03, 4.98e+01±1.01e+01
12, 1.14e-14, 4.48e-04±1.96e-04, 5.37e-03±4.08e-03, 3.51e+01±5.93e+00
22, 1.14e-14, 2.83e-04±1.65e-04, 2.56e-03±2.70e-03, 5.85e+01±1.24e+01
5, 1.14e-14, 3.69e-04±1.32e-04, 3.46e-03±2.26e-03, 1.99e+01±4.25e+00
18, 1.14e-14, 3.73e-04±1.74e-04, 3.95e-03±3.32e-03, 4.82e+01±8.84e+00
7, 1.14e-14, 3.79e-04±1.54e-04, 3.85e-03±2.95e-03, 2.48e+01±6.19e+00
33, 1.14e-14, 3.21e-04±2.01e-04, 3.53e-03±3.98e-03, 8.09e+01±1.95e+01
39, 1.14e-14, 2.85e-04±1.55e-04, 2.73e-03±2.48e-03, 9.05e+01±2.19e+01
25, 1.14e-14, 2.59e-04±1.79e-04, 2.43e-03±3.18e-03, 6.56e+01±1.35e+01
20, 1.14e-14, 3.14e-04±1.80e-04, 3.03e-03±3.68e-03, 5.19e+01±1.22e+01
31, 1.14e-14, 2.86e-04±1.97e-04, 3.00e-03±3.59e-03, 7.71e+01±1.81e+01
3, 1.14e-14, 3.32e-04±1.49e-04, 3.11e-03±2.53e-03, 1.62e+01±3.52e+00
2, 1.14e-14, 3.24e-06±1.95e-06, 5.12e-07±8.59e-07, 2.46e+01±3.75e+00
36, 1.14e-14, 2.84e-04±1.83e-04, 3.03e-03±3.26e-03, 8.48e+01±1.95e+01
30, 1.14e-14, 2.71e-04±1.84e-04, 2.65e-03±3.34e-03, 7.49e+01±1.79e+01
7, 1.14e-14, 3.79e-04±1.54e-04, 3.85e-03±2.95e-03, 2.48e+01±6.19e+00
42, 1.14e-14, 2.77e-04±1.37e-04, 2.53e-03±2.03e-03, 9.77e+01±2.31e+01
12, 1.14e-14, 4.48e-04±1.96e-04, 5.37e-03±4.08e-03, 3.51e+01±5.93e+00
15, 1.14e-14, 4.32e-04±1.72e-04, 5.09e-03±3.48e-03, 4.05e+01±8.17e+00
