epsilon, x_error(%), f_error(%)
1.00E-14, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-13, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-12, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-11, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-10, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-09, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-08, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-07, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-06, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
1.00E-05, 1.58e+00±1.39e+00, 1.59e+01±1.34e+01
